Nombre,Asistencia día 1,Asistencia día 2,Asistencia día 3,email,Edad,Ocupación actual,"¿Qué carrera estudió, estudia o planea estudiar?",¿A qué días se compromete asistir?,,
qubit 96,FALSO,VERDADERO,VERDADERO,gmail.com,18-24,Universitario(a),Ciencias de la comunicación ,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 97,VERDADERO,FALSO,VERDADERO,gmail.com,25-34,Universitario(a),Administración y negocios internacionales ,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 98,VERDADERO,FALSO,VERDADERO,utec.edu.pe,18-24,Universitario(a),Ciencias de la Computación ,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 99,VERDADERO,FALSO,VERDADERO,gmail.com,18-24,Universitario(a),Arquitectura,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 100,VERDADERO,FALSO,FALSO,hotmail.com,25-34,Egresado(a),Economía,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 101,VERDADERO,FALSO,FALSO,pucp.edu.pe,18-24,Universitario(a),Ingeniería Industrial ,19 de diciembre,,
qubit 102,VERDADERO,FALSO,FALSO,,,,,,,
qubit 103,VERDADERO,VERDADERO,VERDADERO,gmail.com,17 o menos,Universitario(a),Ingeniería de Software ,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 104,VERDADERO,FALSO,VERDADERO,gmail.com,18-24,Universitario(a),Finanzas ,19 de diciembre,, 21 de diciembre
qubit 105,VERDADERO,FALSO,VERDADERO,tecsup.edu.pe,25-34,Universitario(a),Ciberseguridad,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 106,VERDADERO,VERDADERO,FALSO,gmail.com,25-34,Universitario(a),Ingeniería Física,19 de diciembre, 20 de diciembre,
qubit 107,VERDADERO,VERDADERO,FALSO,outlook.com,25-34,Egresado(a),Ingeniería Empresarial,,20 de diciembre,
qubit 108,VERDADERO,FALSO,VERDADERO,gmail.com,18-24,Universitario(a),Ingenieria de Sistemas,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 109,VERDADERO,VERDADERO,VERDADERO,gmail.com,45+,Profesional,Ingeniería Química ,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 110,VERDADERO,FALSO,VERDADERO,utec.edu.pe,17 o menos,Universitario(a),Ciencias de la Computación ,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 111,VERDADERO,FALSO,VERDADERO,utec.edu.pe,18-24,Universitario(a),Ciencias de la Computación ,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 112,VERDADERO,VERDADERO,FALSO,gmail.com,17 o menos,Escolar,Filosofía,19 de diciembre, 20 de diciembre,
qubit 113,VERDADERO,VERDADERO,VERDADERO,utec.edu.pe,18-24,Universitario(a),Ciencias de la Computación,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 114,VERDADERO,FALSO,FALSO,gmail.com,45+,Profesional,Administración,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 115,FALSO,VERDADERO,VERDADERO,gmail.com,18-24,Universitario(a),Ingeniería de Software,, 20 de diciembre,21 de diciembre
qubit 116,VERDADERO,FALSO,FALSO,gmail.com,18-24,Universitario(a),Física,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 117,VERDADERO,FALSO,VERDADERO,gmail.com,25-34,Profesional,Bioingeniería,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 118,VERDADERO,FALSO,FALSO,gmail.com,18-24,Universitario(a),Ciencias de Computación,19 de diciembre,, 21 de diciembre
qubit 119,VERDADERO,FALSO,VERDADERO,unmsm.edu.pe,25-34,Universitario(a),Computación Científica ,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 120,VERDADERO,FALSO,FALSO,gmail.com,25-34,Profesional,Ingenieria de Sistemas ,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 121,VERDADERO,FALSO,VERDADERO,hotmail.com,25-34,Otro,Psicología,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 122,FALSO,VERDADERO,VERDADERO,unmsm.edu.pe,25-34,Universitario(a),Ingeniería de Software,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 123,VERDADERO,FALSO,FALSO,gmail.com,18-24,Universitario(a),Ingeniería,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 124,VERDADERO,VERDADERO,FALSO,pucp.edu.pe,25-34,Universitario(a),Gestión y Alta Dirección ,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 125,VERDADERO,FALSO,FALSO,unmsm.edu.pe,18-24,Universitario(a),Física ,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 126,VERDADERO,VERDADERO,FALSO,gmail.com,35-44,Otro,Desarrollo de sistemas ,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 127,VERDADERO,FALSO,VERDADERO,gmail.com,25-34,Egresado(a),Química ,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 128,VERDADERO,FALSO,FALSO,gmail.com,18-24,Universitario(a),Ciencias de la Computación,19 de diciembre,,
qubit 129,VERDADERO,FALSO,FALSO,utec.edu.pe,18-24,Universitario(a),Ciencias de la Computación,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 130,VERDADERO,FALSO,FALSO,gmail.com,25-34,Profesional,Economía,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 131,VERDADERO,VERDADERO,VERDADERO,gmail.com,35-44,Profesional,Ingeniera de Sistemas,19 de diciembre,, 21 de diciembre
qubit 132,VERDADERO,FALSO,FALSO,utec.edu.pe,18-24,Universitario(a),Ingeniería Mecatrónica,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 133,VERDADERO,VERDADERO,FALSO,gmail.com,25-34,Profesional,Administración de negocios,,20 de diciembre, 21 de diciembre
qubit 134,VERDADERO,VERDADERO,VERDADERO,gmail.com,18-24,Universitario(a),Ingenieria de Sistemas ,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 135,VERDADERO,FALSO,FALSO,gmail.com,18-24,Universitario(a),Ingeniería,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 136,VERDADERO,FALSO,VERDADERO,gmail.com,17 o menos,Escolar,Economía ,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 137,VERDADERO,VERDADERO,FALSO,gmail.com,18-24,Universitario(a),Ingeniería de telecomunicaciones ,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 138,VERDADERO,FALSO,VERDADERO,gmail.com,18-24,Universitario(a),Ingeniería Mecatrónica ,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 139,VERDADERO,FALSO,VERDADERO,gmail.com,45+,Profesional,Ingeniería Electrónica,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 140,VERDADERO,FALSO,VERDADERO,gmail.com,35-44,Profesional,Economía,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 141,FALSO,VERDADERO,VERDADERO,gmail.com,17 o menos,Escolar,Relaciones Internacionales ,,,21 de diciembre
qubit 142,VERDADERO,FALSO,VERDADERO,gmail.com,17 o menos,Escolar,Física,19 de diciembre, 20 de diciembre, 21 de diciembre
